Sigla;Nome;Car†ter;Qualis
DIS;Designing Interative Systems Conference;INTERNACIONAL;A2
DISC;International Symposium on Distributed Computing;INTERNACIONAL;A2
DISRA;IEEE International Workshop on Distributed Intelligent Simulation and Real-Time Applications;INTERNACIONAL;
DIWeb;International Workshop on Data Integration over the Web;INTERNACIONAL;B4
DL;International Workshop on Description Logics;INTERNACIONAL;B1
DLT;International Conference on Developments in Language Theory;INTERNACIONAL;B2
DMDW;Design and Management of Data Warehouses;;B2
DMO;Data Mining and Optimization;;B4
DMTCS;International Conference on Discrete Mathematics and Theoretical Computer Science;INTERNACIONAL;B2
DNA;International Meeting on DNA Computing;INTERNACIONAL;B4
DNIS;Databases in Networked Information Systems;;B3
DOA;International Symposium on Distributed Objects and Applications;INTERNACIONAL;B2
DocEng;ACM Symposium on Document Engineering;INTERNACIONAL;B1
DOLAP;International Workshop on Data Warehousing and OLAP;INTERNACIONAL;B1
DRCN;International Workshop on Design of Reliable Communications Networks;INTERNACIONAL;B2
DRM;ACM Workshop on Digital Rights Management;INTERNACIONAL;B1
DS;International Conference on Discovery Science;INTERNACIONAL;B1
DS-RT;IEEE International Symposium on Distributed Simulation and Real Time Applications;INTERNACIONAL;B2
DSD;EUROMICRO Conference on Digital System Design;INTERNACIONAL;B1
DSDE;International Conference on Data Storage and Data Engineering;;B4
DSL;Domain-Specific Languages for Software Engineering Conference;INTERNACIONAL;B4
DSM;Workshop on Domain-Specific Modeling;INTERNACIONAL;B3
DSN;International Conference on Dependable Systems and Networks;INTERNACIONAL;A1
DSOM;IFIP/IEEE International Workshop on Distributed Systems: Operations and Management;INTERNACIONAL;B1
DSP;International Conference on Digital Signal Processing;;A2
DSS;IFIP International Conference on Decision Support Systems;INTERNACIONAL;B4
DSSNS;IEEE Workshop on Dependability and Security in Sensor Networks and Systems;;B4
DSV-IS;International Workshop on Design, Specification and Verification of Interactive Systems;INTERNACIONAL;
DUC;Document Understanding Conference;INTERNACIONAL;
DUX;ACM Designing for User Experience Conference;INTERNACIONAL;B3
DYSPAN;IEEE Symposioum on New Frontiers in Dynamic Spectrum Access Networks;INTERNACIONAL;B2
E-ACTIVITIES;International Conference on E-Activities;;B4
e-Learning;IADIS International Conference on e-Learning;;B4
E-SCIENCE;Brazilian e-Science Workshop;;B5
E2EMON;IEEE/IFIP Workshop on End-to-End Monitoring Techniques and Services;INTERNACIONAL;B3
E4MAS;International Workshop on Environments for Multiagent Systems;INTERNACIONAL;B4
EA;Workshop on Early Aspects;INTERNACIONAL;B3
EACL;Conference of the European Chapter of the Association for Computational Linguistics;INTERNACIONAL;A2
EAMT;Annual Conference of the European Association for Machine Translation;INTERNACIONAL;B3
EANN;International Conference on Engineering Applications of Neural Networks;INTERNACIONAL;B4
EASE;International Conference on Evaluation and Assessment in Software Engineering;INTERNACIONAL;B4
EATIS;Euro American Conference on Telematics and Information Systems;INTERNACIONAL;B4
EC;ACM Conference on Electronic Commerce;INTERNACIONAL;A1
EC-TEL;European Conference on Technology Enhanced Learning;;B2
EC_A;IADIS International Conference e-Commerce;;B4
ECAI;European Conference on Artificial Intelligence;INTERNACIONAL;A2
ECAIM;European Conference on Artificial Intelligence in Medicine;INTERNACIONAL;
ECAL;European Conference on Artificial Life;;B1
ECBS;Annual IEEE International Conference and Workshop on the Engineering of Computer Based Systems;INTERNACIONAL;B1
ECC;European Control Conference;INTERNACIONAL;B1
ECCB;European Conference on Computational Biology;INTERNACIONAL;B1
ECCO;Conference of European Chapter on Combinatorial Optimization;;B5
ECCTD;European Conference on Circuit Theory and Design;INTERNACIONAL;B3
ECCV;European Conference on Computer Vision;INTERNACIONAL;A1
ECDL;European Conference on Research and Advanced Technology for Digital Libraries;INTERNACIONAL;
ECIR;European Conference on Information Retrieval;INTERNACIONAL;A2
ECIS;European Conference on Information Systems;INTERNACIONAL;B1
ECKM;European Conference on Knowledge Management;;B4
ECMDA;European Conference on Model Driven Architecture Foundations and Applications;INTERNACIONAL;B1
ECML;European Conference on Machine Learning;INTERNACIONAL;A2
ECOOP;European Conference on Object-oriented Programming;INTERNACIONAL;A1
ECOWS;IEEE European Conference on Web Services;INTERNACIONAL;B1
ECRTS;Euromicro Conference on Real-Time Systems;INTERNACIONAL;A2
ECSA;European Conference on Software Architecture;INTERNACIONAL;B3
ECSCW;European Conference on Computer Supported Cooperative Work;INTERNACIONAL;B1
ECSQARU;European Conference on Symbolic and Quantitative Approaches to Reasoning with Uncertainty;INTERNACIONAL;B1
ECWeb;International Conference on Electronic Commerce and Web Technology;INTERNACIONAL;B1
ED-MEDIA;World Conference on Educational Multimedia Hypermedia and Telecommunications;INTERNACIONAL;B3
EDBT;International Conference on Extending Database Technology;INTERNACIONAL;A2
EDCC;European Dependable Computing Conference;INTERNACIONAL;B2
EDM;International Conference on Educational Data Mining;;B3
EDOC;IEEE International Enterprise Distributed Object Computing Conference;INTERNACIONAL;A2
EDOCW;IEEE International Enterprise Distributed Object Computing Conference Workshops;INTERNACIONAL;B3
EDUCON;IEEE Engineering Education Conference;;B4
Edutainment;International Conference on E-learning and Games;;B3
EEE;IEEE International Conference on e-Technology e-Commerce and e- Service;INTERNACIONAL;B1
EGC;European Grid Conference;INTERNACIONAL;B2
EGSR;Eurographics Symposium on Rendering;INTERNACIONAL;B1
EGVE;Eurographics Workshop on Virtual Environments;INTERNACIONAL;B4
EHCI-DSVIS;IFIP Working Conference on Engineering for Human-Computer Interaction;INTERNACIONAL;
EICS;The ACM SIGCHI Symposium on Engineering Interactive Computing Systems;;B1
EISWT;International Conference on Enterprise Information Systems and Web Technologies;;B4
EIT;IEEE International Conference on Electro/Information Technology;;B4
EJC;European-Japanese Conference on Information Modelling and Knowledge Bases;;B4
EKAW;International Conference on Knowledge Engineering and Knowledge Management;INTERNACIONAL;B1
EKM;European Conference on Knowledge Management;INTERNACIONAL;
EKNOW;International Conference on Information, Process, and Knowledge Management;;B4
ELAVIO;Latin American Operations Research Summer School;;B5
ELC;Encontro de Lingu°stica de Corpus;;B5
ELearn;World Conference on E-Learning in Corporate, Government, Healthcare & Higher Education;;B3
ELML;International Conference on Mobile, Hybrid, and On-line Learning;;B4
EMBC;International Conference of the IEEE Engineering in Medicine and Biology Society;INTERNACIONAL;B1
EMicro;South Microelectronics School;;B5
EMMSAD;Exploring Modelling Methods in Systems Analysis and Design;INTERNACIONAL;B4
Emnets;Workshop on Embedded Networked Sensors;INTERNACIONAL;B2
EMNLP;Conference on Empirical Methods in Natural Language Processing;INTERNACIONAL;A1
EMO;International Conference on Evolutionary Multi-Criterion Optimization;INTERNACIONAL;A2
EMS;EMS Network Conference;;B5
EMSOFT;ACM Conference on Embedded Software;INTERNACIONAL;A2
ENADI;Encontro de Administraá∆o da Informaá∆o;;B5
ENASE;International Conference on Evaluation of Novel Approaches to Software Engineering;;B4
Engopt;International Conference on Engineering Optimization;;B4
ENIA;Encontro Nacional de Inteligància Artificial;;B4
ENLG;European Workshop on Natural Language Generation;INTERNACIONAL;B4
ENRI;Encontro de Rob¢tica Inteligente;;B4
ENTER;International Conference on Information and Communication Technologies in Tourism;;B2
EOMAS;Enterprise and Organizational Modeling and Simulation;;B5
EON;Workshop on Evaluation of Ontology-based Tools;;B3
EP;Annual Conference on Evolutionary Programming;INTERNACIONAL;
ePart;International Conference on Electronic Participation;;B4
EPIA;Portuguese Conference on Artiificial Intelligence/Encontro Portuguàs de Inteligància Artificial;;B2
EPIO;Escuela de Perfeccionamiento en Investigaci¢n Operativa;;B5
EpiRob;International Conference on Epigenetic Robotics;INTERNACIONAL;B4
ER;International Conference on Conceptual Modeling;INTERNACIONAL;A2
ERAD;Escola Regional de Alto Desempenho;;B5
ERSA;International Conference on Engineering of Reconfigurable Systems and Algorithms;INTERNACIONAL;B3
ESA;European Symposium on Algorithms;INTERNACIONAL;A2
ESAIR;Exploiting Semantic Annotations in Information Retrieval;;B4
ESANN;European Symposium on Artificial Neural Networks;INTERNACIONAL;B1
ESAW;International Workshop on Engineering Societies in the Agents World;;B3
eScience;IEEE International Conference on e-science and Grid Computing;INTERNACIONAL;B1
ESEC;European Software Engineering Conference and the ACM SIGSOFT Symposium on the Foundations of Software Engineering;INTERNACIONAL;
ESEC/FSE;European Software Engineering Conference and the ACM SIGSOFT Symposium on the Foundations of Software Engineering;;A2
ESELAW;Experimental Software Engineering Latin American Workshop;INTERNACIONAL;B4
ESEM;International Symposium on Empirical Software Engineering and Measurement;INTERNACIONAL;A2
ESM;European Simulation Multiconference;INTERNACIONAL;B2
ESOP;European Symposium on Programming ETAPS);INTERNACIONAL;A2
ESORICS;European Symposium on Research in Computer Security;INTERNACIONAL;A2
ESS;European Simulation Symposium;INTERNACIONAL;B3
ESSCIRC;European Solid-State Circuits Conference;INTERNACIONAL;B1
ESSDERC;European Solid-State Device Research Conference;INTERNACIONAL;B3
ESTIMedia;IEEE Workshop on Embedded Systems for Real-Time Multimedia;INTERNACIONAL;B3
ESWC;European Semantic Web Conference;INTERNACIONAL;A1
ETAPS;European Joint Conferences on Theory and Practice of Software;INTERNACIONAL;
ETCS;IEEE International Workshop on Education Technology and Computer Science;;B4
ETELEMED;International Conference on eHealth, Telemedicine, and Social Medicine;;B4
ETFA;IEEE International Conference on Emerging Technologies and Factory Automation;INTERNACIONAL;B1
ETHICOMP;International Conference on the Social and Ethical Impacts of Information and Communication Technologies;INTERNACIONAL;B4
ETRA;Eye Tracking Research and Applications;;B5
ETS;IEEE European Test Symposium;INTERNACIONAL;B2
EUC;IFIP International Conference on Embedded and Ubiquitous Computing;INTERNACIONAL;B2
EUMAS;European Workshop on Multi-Agent Systems;INTERNACIONAL;B3
EURO;European Conference on Operational Research;INTERNACIONAL;B4
Euro-Par;European Conference on Parallel Computing;INTERNACIONAL;A2
Euro-Plop;European Conference on Pattern Languages of Programs;;B2
EuroBot;European Workshop on Advanced Mobile Robots;INTERNACIONAL;B3
EUROCAST;International Workshop on Computer Aided Systems Theory;INTERNACIONAL;B3
EuroCG;European Workshop on Computational Geometry;;B4
EuroCOLT;European Conference on Computational Learning Theory;INTERNACIONAL;
EUROCOMB;European Conference on Combinatorics Graph Theory and Applications;INTERNACIONAL;B5
EUROCON;"The International Conference on ""Computer as a Tool""";;B3
EuroCrypt;International Conference on the Theory and Application of Cryptographic Techniques;INTERNACIONAL;A1
EuroGP;European Conference on Genetic Programming;INTERNACIONAL;B1
EUROGRAPHICS;Eurographics Annual Conference of the European Association for Computer Graphics;INTERNACIONAL;A2
EuroIMSA;IASTED International Conference on Internet and Multimedia Systems and Applications;;B4
EuroITV;European Interactive TV Conference;INTERNACIONAL;B3
EuroMPI;European MPI Users Group Conference;;B1
EUROPKI;European Public Key Infrastructure Workshop;;B2
EUROPT;Workshop on Advances in Continuous Optimization;INTERNACIONAL;B5
EuroPVM;European PVM/MPI Users Group International Conference;INTERNACIONAL;
EuroSPI;European Conference on Software Process Improvement;INTERNACIONAL;B2
EuroSys;European Conference on Computer Systems;;A2
EuroVis;Eurographics/IEEE-VGTC Symposium on Visualization;INTERNACIONAL;B1
EUSIPCO;European Signal Processing Conference;INTERNACIONAL;B1
Evoapplications;European Conference on the Applications of Evolutionary Computation;;B5
Evobio;European Conference on Evolutionary Computation, Machine Learning and Data Mining in Computational Biology;;B3
EvoCOP;European Conference on Evolutionary Computation in Combinatorial Optimization;INTERNACIONAL;B2
EWME;European Workshop on Microelectronics Education;;B4
EWSN;European conference on Wireless Sensor Networks;INTERNACIONAL;A2
FAABS;IEEE Workshop on Formal Approaches to Agent-Based Systems;INTERNACIONAL;B2
FASE;Fundamental Approaches to Software Engineering;INTERNACIONAL;A2
FAST;USENIX Conference on File and Storage Technologies;INTERNACIONAL;A1
FATES;International Workshop on Formal Approaches to Testing of Software;INTERNACIONAL;
FC;Financial Cryptography;;B1
FCCM;IEEE Symposium on Field-Programmable Custom Computing Machines;INTERNACIONAL;A2
FCS;International Conference on Foundations of Computer Science;INTERNACIONAL;B4
FCT;International Symposium on Fundamentals of Computation Theory;INTERNACIONAL;B2
FDG;Foundations of Digital Games;;B3
FDL;Forum on Specification and Design Languages;INTERNACIONAL;B3
FDTC;Workshop on Fault Diagnosis and Tolerance in Cryptography;;B2
FECS;International Conference on Frontiers in Education: Computer Science and Computer Engineering;INTERNACIONAL;B4
FedCSIS;Federated Conference on Computer Science and Information Systems;;B5
FEF;The Finite Elements in Flow Problems Conference;INTERNACIONAL;B5
FG;International Conference on Automatic Face and Gesture Recognition;INTERNACIONAL;A1
FGCN;International Conference on Future Generation Communication and Networking;;B3
FGIT;Future Generation Information Technology;;B4
FIE;IEEE Frontiers in Education Conference;INTERNACIONAL;B1
FIND;Dynamic Taxonomies and Faceted Search;;B5
FINTDI;Promotion and Innovation with New Technologies in Engineering Education;;B5
FIT;Frontiers of Information Technology;;B4
FLAIRS;Florida Artificial Intelligence Research Society;;B1
FLINS;International FLINS Conference on Uncertainty Modeling in Knowledge Engineering and Decision Making;;B4
FLOPS;International Symposium on Functional and Logic Programming;INTERNACIONAL;B1
FM;International Symposium on Formal Methods;INTERNACIONAL;B1
FMCAD;Formal Methods in Computer Aided Design;;B1
FME;International Symposium of Formal Methods Europe;INTERNACIONAL;
FMICS;International Workshop on Formal Methods for Industrial Critical Systems;INTERNACIONAL;B4
FMN;Future Multimedia Networking;;B4
FMOODS;International Conference on Formal Methods for Open Object-Based Distributed Systems;INTERNACIONAL;B1
FOAL;Foundations of Aspect-Oriented Languages Workshop;INTERNACIONAL;B2
FOCI;IEEE Symposium on Foundations of Computational Intelligence;INTERNACIONAL;B3
FOCS;IEEE Symposium on Foundations of Computer Science;INTERNACIONAL;A1
FOGA;Foundations of Genetic Algorithms;;B3
FoIKS;International Symposium on Foundations on Information and Knowledge Systems;INTERNACIONAL;B2
FOIS;International Conference on Formal Ontology in Information Systems;;B1
FOMI;Formal Ontologies Meet Industry;;B4
FOOL;International Workshop on Foundations of Object-Oriented Languages;INTERNACIONAL;B3
FORMATS;International Conference on Formal Modelling and Analysis of Timed Systems;INTERNACIONAL;B1
FORTE;IFIP WG 6.1 International Conference on Formal Methods for Networked and Distributed Systems;INTERNACIONAL;B1
FOSSACS;Foundations of Software Science and Computation Structures Conference;INTERNACIONAL;A2
FPGA;ACM/SIGDA International Symposium on Field-Programmable Gate Arrays;INTERNACIONAL;A2
FPL;International Conference on Field-Programmable Logic and Applications;INTERNACIONAL;A2
FPSAC;International Conference on Formal Power Series and Algebraic Combinatorics;INTERNACIONAL;B4
FQAS;International Conference on Flexible Query Answering Systems;INTERNACIONAL;B2
FroCoS;International Symposium on Frontiers of Combining Systems;INTERNACIONAL;B3
FSE;Fast Software Encryption Workshop;INTERNACIONAL;A2
FSE_A;ACM SIGSOFT Conference on the Foundations of Software Engineering;INTERNACIONAL;A1
FSKD;International Conference on Fuzzy Systems and Knowledge Discovery;INTERNACIONAL;B2
FSR;International Symposium on Field and Service Robotics;INTERNACIONAL;B4
FSTTCS;IARCS Conference on Foundations of Software Technology and Theoretical Computer Science;;B1
FTFC;IEEE Faible Tension Faible Consommation;;B5
FTJP;Workshop on Formal Techniques for Java Programs;INTERNACIONAL;B4
FTP;International Workshops on First-Order Theorem Proving;INTERNACIONAL;B4
FTRTFT;Formal Techniques in Real-Time and Fault Tolerant Systems;INTERNACIONAL;B2
FUSION;International Conference on Information Fusion;INTERNACIONAL;B1
FUZZ;IEEE International Conference on Fuzzy Systems;INTERNACIONAL;A2
GADA;International Conference on Grid computing High-performance and Distributed Applications;INTERNACIONAL;B5
GAME-ON;European GAME-ON Conference;INTERNACIONAL;B3
GCA;International Conference on Grid Computing and Applications;INTERNACIONAL;B4
GCC;International Conference on Grid and Cooperative Computing;INTERNACIONAL;B2
GD;International Symposium on Graph Drawing;INTERNACIONAL;B2
GDC;Game Developers Conference;INTERNACIONAL;B1
GECCO;Genetic and Evolutionary Computation Conference;INTERNACIONAL;A1
GECON;Grid Economics and Business Models;;B3
GEFS;International Workshop on Genetic and Evolving Fuzzy Systems;;B4
GENSIPS;IEEE International Workshop on Genomic Signal Processing and Statistics;;B4
GeoComp;International Conference on GeoComputation;INTERNACIONAL;B3
GeoInfo;Simp¢sio Brasileiro de Geoinform†tica;NACIONAL;B3
GEOPROCESSING;International Conference on Advanced Geographic Information Systems, Applications, and Services;;B4
GeoS;International Conference on Geospatial Semantics;INTERNACIONAL;B3
GI;Graphics Interface;;A2
GIIS;IEEE International Global Information Infrastructure Symposium;INTERNACIONAL;B4
GIR;Workshop on Geographic Information Retrieval;INTERNACIONAL;B2
GIS;International Symposium on Advances in Geographic Information Systems;;B1
GIScience;International Conference on Geographic Information Science;INTERNACIONAL;B1
Globe;Conference on Data Management in Grid and P2P Systems;;B4
GLOBECOM;IEEE Global Telecommunications Conference;INTERNACIONAL;A1
GLSVLSI;ACM Great Lakes Symposium on VLSI;INTERNACIONAL;B1
GMP;Geometry Modeling and Processing Conference;INTERNACIONAL;B2
GOW;Global Optimization Workshop;;B5
GPC;Advances in Grid and Pervasive Computing;;B3
GPCE;International Conference on Generative Programming and Component Engineering;INTERNACIONAL;A2
GRAPP;International Conference on Computer Graphics Theory and Applications;INTERNACIONAL;B4
GREC;IAPR International Workshop on Graphics Recognition;INTERNACIONAL;B3
GREENCOM;Green Computing and Communications;;B4
GREENCOM-CPSCOM;IEEE-ACM International Conference on Green Computing and Communications and International Conference on Cyber Physical and Social Computing;;B4
GRID;IEEE/ACM International Conference on Grid Computing;INTERNACIONAL;A2
Group;International Conference on Supporting Group Work;INTERNACIONAL;A2
GSD;International Workshop on Global Software Development for the Practitioner;INTERNACIONAL;B3
GSDI;International Conference for Global Spatial Data Infrastructure;INTERNACIONAL;B4
GWC;International Global Wordnet Conference;;B3
HAIS;International Conference on Hybrid Artificial Intelligence Systems;;B4
HAPTICS;International Symposium on Haptic Interfaces for Virtual Environment and Teleoperator Systems;;B1
HASE;IEEE International Symposium on High Assurance Systems Engineering;INTERNACIONAL;B1
HASKELL;Haskell Workshop;INTERNACIONAL;B1
HC;Humans and Computers;;B5
HCI;International Conference on Human-Computer Interaction;INTERNACIONAL;
HCII;International Conference on Human-Computer Interaction;;B2
HCS;IEEE Hot Chips Symposium;INTERNACIONAL;B4
HealthCom;International Workshop on Enterprise Networking and Computing in Health Care Industry;INTERNACIONAL;B4
HEALTHINF;International Conference on Health Informatics;;B4
HIC;Health Informatics Conference;INTERNACIONAL;B4
HICSS;Annual Hawaii International Conference on System Sciences;;A1
HIKM;Healthcare Information and Knowledge Management;;B4
HiPC;International Conference on High Performance Computing;INTERNACIONAL;B1
HiPEAC;International Conference on High-Performance and Embedded Architectures and Compilers;;B2
HIPS;International Workshop on High-Level Programming Models and Supportive Environments;;B4
HIS;International Conference on Hybrid Intelligent Systems;INTERNACIONAL;B2
HLDVT;IEEE International High Level Design Validation and Test Workshop;INTERNACIONAL;B3
HLPP;International Workshop on High-level Parallel Programming and Applications;INTERNACIONAL;
HLT;Human Language Technology Conference;INTERNACIONAL;A1
HM;International Workshop on Hybrid Metaheuristics;INTERNACIONAL;B3
HoloMAS;Holonic and Multi-Agent Systems for Manufacturing;;B2
HOPL;History of Programming Languages Conference;;B5
HOST;Hardware-Oriented Security and Trust HOST), IEEE International Workshop on;;B3
Hot;Symposium on High-Performance Interconnects;INTERNACIONAL;
Hot-P2P;International Workshop on Hot Topics in Peer-to-Peer Systems;INTERNACIONAL;B4
HOTI;IEEE Symposium on High-Performance Interconnects;;B1
HotInterconnect;Symposium on High-Performance Interconnects;;B2
HotMobile;Workshop on Mobile Computing Systems and Applications;;B2
HOTNETS;Workshop on Hot Topics in Networks;INTERNACIONAL;B3
HotOS;USENIX Workshop on Hot Topics in Operating Systems;INTERNACIONAL;A2
HPCA;International Symposium on High-Performance Computer Architecture;INTERNACIONAL;A1
HPCN;International Conference on High Performance Computing and Networking;INTERNACIONAL;B3
HPCS;International Symposium on High Performance Computing Systems and Applications;INTERNACIONAL;B3
HPDC;IEEE International Symposium on High Performance Distributed Computing;INTERNACIONAL;A1
HRI;IEEE/ACM International Conference on Human Robot Interaction;INTERNACIONAL;A2
Humanoids;IEEE RAS International Conference on Humanoids Robots;INTERNACIONAL;B2
HVC;International Haifa Verification Conference;;B4
Hypertext;ACM Conference on Hypertext and Hypermedia;INTERNACIONAL;A2
I;IADIS International Conference Informatics;;B5
I&CPS;IEEE Industrial and Commercial Power Systems Technical Conference - Conference Record;;B4
I-ESA;International Conference Interoperability for Enterprise Software and Applications;INTERNACIONAL;
I-KNOW;International Conference on Knowledge Management and Knowledge Technologies;;B5
I-SEMANTICS;International Conference on Semantic Systems;;B3
I-SPAN;International Symposium on Parallel Architectures Algorithms and Networks;INTERNACIONAL;B1
I2TS;Information and Telecommunication Technologies;;B4
I3D;ACM Symposium on Interactive 3D Graphics and Games;INTERNACIONAL;A2
I3E;IFIP Conference on e-Commerce e-Business and e-Government;INTERNACIONAL;B3
IAAI;Conference on Innovative Applications in Artificial Intelligence;INTERNACIONAL;B2
IAIF;International Workshop on Image Analysis and Information Fusion;INTERNACIONAL;
IAIM;Annual Conference of the International Academy for Information Management;INTERNACIONAL;B5
IAIT;International Conference on Advances in Information Technology;;B5
IAPR;Workshop on Graph-based Representations in Pattern Recognition;INTERNACIONAL;
IAS;IEEE Industry Applications Society Annual Conference;INTERNACIONAL;B1
IAT;ACM International Conference on Intelligent Agent Technology;INTERNACIONAL;B1
IAW;Annual IEEE Information Assurance Workshop;INTERNACIONAL;B1
IAWTIC;International Conference on Intelligent Agents Web Technologies and Internet Commerce;INTERNACIONAL;B4
IBERAMIA;Ibero-American Artificial Intelligence Conference;INTERNACIONAL;B2
IBERCHIP;Workshop Iberchip;;B4
IBICA;International Conference on Innovations in Bio-inspired Computing and Applications;;B5
IBIMA;International Business Information Management;INTERNACIONAL;B4
IC3K;International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management;;B4
ICA3PP;International Conference on Algorithms and Architectures for Parallel Processing;INTERNACIONAL;B3
ICAART;International Conference on Agents and Artificial Intelligence;;B4
ICAC;IEEE International Conference on Autonomic Computing;INTERNACIONAL;A2
ICAD;International Conference on Auditory Display;;B1
ICAI;International Conference on Artificial Intelligence;INTERNACIONAL;B2
ICAIE;International Conference on Artificial Intelligence and Education;;B5
ICAIL;International Conference on Artificial Intelligence and Law;;B1
ICAIS;International Conference on Adaptive and Intelligent Systems;;B3
ICAISC;International Conference on Artifical Intelligence and Soft Computing;;B2
ICAL;IEEE International Conference on Automation and Logistics;;B4
ICALIP;International Conference on Audio, Language and Image Processing;;B4
ICALP;International Colloquium on Automata Languages and Programming;INTERNACIONAL;A1
ICALT;IEEE International Conference on Advanced Learning Technologies;INTERNACIONAL;B1
ICANN;International Conference on Artificial Neural Networks;INTERNACIONAL;B1
ICAPS;International Conference on Automated Planning and Scheduling;INTERNACIONAL;A2
ICAR;International Conference on Advanced Robotics;INTERNACIONAL;B2
ICARCV;International Conference on Control, Automation, Robotics and Vision;;B1
ICAS;International Conference on Autonomic and Autonomous Systems;;B2
ICASSP;International Conference on Acoustics, Speech, and Signal Processing;INTERNACIONAL;A1
ICAT;International Conference on Artificial Reality and Telexistence;INTERNACIONAL;B3
ICATPN;International Conference on the Application and Theory of Petri Nets;INTERNACIONAL;B1
ICB;International Conference on Biometrics;;B2
ICBAKE;International Conference on Biometrics and Kansei Engineering;;B4
ICBBE;International Conference on Bioinformatics and Biomedical Engineering;;B4
ICC;IEEE International Conference on Communications;INTERNACIONAL;A2
ICCABS;IEEE International Conference on Computational Advances in Bio and Medical Sciences;;B5
ICCAD;International Conference on Computer-Aided Design;INTERNACIONAL;A1
ICCAS;International Conference on Control Automation and Systems;INTERNACIONAL;B4
ICCB;International Conference on Case-Based Reasoning;INTERNACIONAL;
ICCBR;International Conference on Case-Based Reasoning;;B4
ICCBSS;IEEE International Conference on COTS-Based Software Systems;INTERNACIONAL;B2
ICCC;International Conference on Computer Communication;INTERNACIONAL;B4
ICCCAS;International Conference on Communications, Circuits and Systems;;B4
ICCCN;International Conference on Computer Communications and Networks;INTERNACIONAL;B1
ICCD;International Conference on Computer Design;INTERNACIONAL;A2
ICCDCS;International Caribbean Conference on Devices, Circuits and Systems;;B4
ICCE;International Conference on Computers in Education;INTERNACIONAL;B2
ICCI;International Conference on Computing and Information;INTERNACIONAL;B4
ICCI_A;IEEE International Conference on Cognitive Informatics;INTERNACIONAL;B2
ICCIIS;International Conference on Communications and Intelligence Information Security;;B5
ICCIMA;International Conference on Computational Intelligence and Multimedia Applications;INTERNACIONAL;B2
ICCL;IEEE International Conference on Computer Languages;INTERNACIONAL;B5
ICCMS;International Conference on Computer Modeling and Simulation;;B4
ICCOPT;International Conference on Continuous Optimization;INTERNACIONAL;B5
ICCS;International Conference on Computational Science;INTERNACIONAL;A2
ICCS_A;International Conference on Conceptual Structures;;B1
ICCSA;International Conference on Computational Science and its Applications;INTERNACIONAL;B1
ICCSE;International Conference on Computer Science & Education;;B4
ICCST;Annual International Carnahan Conference on Security Technology;;B4
ICCTA;International Conference on Computing: Theory and Applications;;B3
ICCV;IEEE International Conference on Computer Vision;INTERNACIONAL;A1
ICDAR;IEEE International Conference on Document Analysis and Recognition;INTERNACIONAL;A2
ICDCIT;International Conference on Distributed Computing and Internet Technology;;B4
ICDCN;IEEE International Conference on Distributed Computing and Networking;INTERNACIONAL;B4
ICDCS;IEEE International Conference on Distributed Computing Systems;INTERNACIONAL;A1
ICDE;IEEE International Conference on Data Engineering;INTERNACIONAL;A1
ICDE_A;World Conference on Open Learning and Distance Education;INTERNACIONAL;B5
ICDF;IFIP WG 11.9 International Conference on Digital Forensics;;B5
ICDIM;International Conference on Digital Information Management;;B3
ICDL;IEEE International Conference on Development and Learning;;B3
ICDL-EpiRob;IEEE Conference on Development and Learning and Epigenetic Robotics;;B2
ICDLE;International Conference on Distance Learning and Education;;B5
ICDM;IEEE International Conference on Data Mining;INTERNACIONAL;A1
ICDS;International Conference on Digital Society;;B3
ICDT;International Conference on Database Theory;INTERNACIONAL;B1
ICDVRAT;International Conference on Disability, Virtual Reality and Associated Technologies;;B5
ICE-B;International Conference on e-Business;;B4
ICEB;International Conference on Electronic Business;;B4
ICEBE;IEEE International Conference on e-Business Engineering;;B2
ICEC;International Conference on Electronic Commerce;INTERNACIONAL;B1
HPCN;International Conference on High Performance Computing and Networking;INTERNACIONAL;B3
HPCS;International Symposium on High Performance Computing Systems and Applications;INTERNACIONAL;B3
HPDC;IEEE International Symposium on High Performance Distributed Computing;INTERNACIONAL;A1
HRI;IEEE/ACM International Conference on Human Robot Interaction;INTERNACIONAL;A2
Humanoids;IEEE RAS International Conference on Humanoids Robots;INTERNACIONAL;B2
HVC;International Haifa Verification Conference;;B4
Hypertext;ACM Conference on Hypertext and Hypermedia;INTERNACIONAL;A2
I;IADIS International Conference Informatics;;B5
I&CPS;IEEE Industrial and Commercial Power Systems Technical Conference - Conference Record;;B4
I-ESA;International Conference Interoperability for Enterprise Software and Applications;INTERNACIONAL;
I-KNOW;International Conference on Knowledge Management and Knowledge Technologies;;B5
I-SEMANTICS;International Conference on Semantic Systems;;B3
I-SPAN;International Symposium on Parallel Architectures Algorithms and Networks;INTERNACIONAL;B1
I2TS;Information and Telecommunication Technologies;;B4
I3D;ACM Symposium on Interactive 3D Graphics and Games;INTERNACIONAL;A2
I3E;IFIP Conference on e-Commerce e-Business and e-Government;INTERNACIONAL;B3
IAAI;Conference on Innovative Applications in Artificial Intelligence;INTERNACIONAL;B2
IAIF;International Workshop on Image Analysis and Information Fusion;INTERNACIONAL;
IAIM;Annual Conference of the International Academy for Information Management;INTERNACIONAL;B5
IAIT;International Conference on Advances in Information Technology;;B5
IAPR;Workshop on Graph-based Representations in Pattern Recognition;INTERNACIONAL;
